Iq_A;g1_g;g2_g;g3_g;tau1_kgfcm;tau2_kgfcm;tau3_kgfcm;media_kgfcm;desvio_kgfcm;Idc_A
1,0;23,4;23,6;26,2;0,234;0,236;0,262;0,2440;0,0156;
2,0;57,4;57,4;55,1;0,574;0,574;0,551;0,5663;0,0133;
3,0;81,2;79,0;82,0;0,812;0,790;0,820;0,8073;0,0155;
4,0;101,7;101,6;103,6;1,017;1,016;1,036;1,0230;0,0113;
5,0;125,5;126,9;126,9;1,255;1,269;1,269;1,2643;0,0081;
6,0;152,4;152,4;150,0;1,524;1,524;1,500;1,5160;0,0139;0,222
7,0;174,8;172,8;173,6;1,748;1,728;1,736;1,7373;0,0101;0,288
8,0;200,0;194,4;202,4;2,000;1,944;2,024;1,9893;0,0411;0,372
9,0;221,7;223,1;219,1;2,217;2,231;2,191;2,2130;0,0203;0,464
10,0;237,0;240,0;236,0;2,370;2,400;2,360;2,3767;0,0208;0,533
11,0;262,0;261,4;259,0;2,620;2,614;2,590;2,6080;0,0159;0,604
12,0;290,0;285,2;290,2;2,900;2,852;2,902;2,8847;0,0283;0,788
13,0;324,0;307,0;309,0;3,240;3,070;3,090;3,1333;0,0929;0,889
14,0;350,0;333,0;329,0;3,500;3,330;3,290;3,3733;0,1115;1,025
15,0;356,0;359,0;362,0;3,560;3,590;3,620;3,5900;0,0300;1,202
16,0;380,0;383,0;384,0;3,800;3,830;3,840;3,8233;0,0208;1,300
